task_id,phase,phase_name,priority,status,title,dependencies,acceptance_criteria,evidence_path,notes
P2-01,P2,Track reconstruction,P0,NOT_STARTED,Filter accurate non-pit laps,P1-06,Rejected laps have reasons,,
P2-02,P2,Track reconstruction,P0,NOT_STARTED,Distance-align multiple laps,P2-01,All laps project to common bins,,
P2-03,P2,Track reconstruction,P0,NOT_STARTED,Median aggregate and smooth XY,P2-02,GPS jitter reduced without corner distortion,,
P2-04,P2,Track reconstruction,P0,NOT_STARTED,Compute signed curvature and heading,P2-03,Finite curvature and visual corner agreement,,
P2-05,P2,Track reconstruction,P0,NOT_STARTED,Measure closure and length uncertainty,P2-04,Track gate report passes,,
P2-06,P2,Track reconstruction,P0,NOT_STARTED,Map DRS and pit zones,"P1-06,P2-04",Zones traced to source events,,
P3-01,P3,Physics calibration,P0,NOT_STARTED,Extract coasting segments,P1-07,High-quality segments saved with filters,,
P3-02,P3,Physics calibration,P0,NOT_STARTED,Fit drag and rolling prior,P3-01,Held-out deceleration error reported,,
P3-03,P3,Physics calibration,P0,NOT_STARTED,Extract braking segments,P1-07,Brake envelopes by speed/track saved,,
P3-04,P3,Physics calibration,P0,NOT_STARTED,Fit braking model,P3-03,Held-out braking error reported,,
P3-05,P3,Physics calibration,P0,NOT_STARTED,Extract acceleration segments,P1-07,Clean full-throttle segments saved,,
P3-06,P3,Physics calibration,P0,NOT_STARTED,Fit power/traction prior,P3-05,Held-out acceleration error reported,,
P3-07,P3,Physics calibration,P0,NOT_STARTED,Fit corner grip envelope,P2-04,Speed-curvature envelope calibrated,,
P3-08,P3,Physics calibration,P0,NOT_STARTED,Run recorded-control replay,"P3-02,P3-04,P3-06,P3-07",Matched replay metrics produced,,
P3-09,P3,Physics calibration,P0,NOT_STARTED,Freeze physics-v1 bundle,P3-08,Config/hash and limitation report published,,
P4-01,P4,Driver policy,P1,NOT_STARTED,Improve reference target-speed controller,P3-09,Completes held-out laps without violations,,
P4-02,P4,Driver policy,P1,NOT_STARTED,Build behavior-cloning windows,P1-08,No future leakage and masks included,,
P4-03,P4,Driver policy,P1,NOT_STARTED,Train action MLP baseline,P4-02,Action and closed-loop metrics reported,,
P4-04,P4,Driver policy,P1,NOT_STARTED,Train GRU driver policy,P4-03,Improves held-out closed-loop evidence,,
P4-05,P4,Driver policy,P1,NOT_STARTED,Add policy support detector,P4-04,OOD actions are warned or rejected,,
P5-01,P5,Tyres fuel weather,P1,NOT_STARTED,Build corrected lap/stint table,P1-07,Traffic/flag/pit laps flagged,,
P5-02,P5,Tyres fuel weather,P1,NOT_STARTED,Fit compound degradation ranges,P5-01,Cross-session uncertainty reported,,
P5-03,P5,Tyres fuel weather,P1,NOT_STARTED,Fit tyre warmup latent proxy,P5-01,Improves early-stint replay without overclaiming,,
P5-04,P5,Tyres fuel weather,P1,NOT_STARTED,Calibrate fuel trend,P5-01,Plausible race-distance constraint,,
P5-05,P5,Tyres fuel weather,P1,NOT_STARTED,Implement sector wetness/drying state,P1-06,Synthetic monotonic tests pass,,
P5-06,P5,Tyres fuel weather,P1,NOT_STARTED,Run wet/dry strategy benchmark,"P5-02,P5-05",Known synthetic optimum recovered,,
P6-01,P6,Hybrid world model,P1,NOT_STARTED,Freeze physics residual dataset,"P3-09,P5-04",Residual targets and masks versioned,,
P6-02,P6,Hybrid world model,P1,NOT_STARTED,Train linear residual baseline,P6-01,Matched multi-step metrics reported,,
P6-03,P6,Hybrid world model,P1,NOT_STARTED,Train boosted-tree residual,P6-02,Held-out improvement and feature analysis,,
P6-04,P6,Hybrid world model,P1,NOT_STARTED,Adapt GRU to residual prediction,P6-02,Bounded residual rollout stable,,
P6-05,P6,Hybrid world model,P1,NOT_STARTED,Evaluate RSSM residual,P6-04,Only retained if uncertainty/rollout improves,,
P6-06,P6,Hybrid world model,P1,NOT_STARTED,Evaluate SSM residual,P6-04,Only retained if long-horizon/runtime improves,,
P6-07,P6,Hybrid world model,P1,NOT_STARTED,Build ensemble uncertainty,P6-04,Coverage and calibration report,,
P6-08,P6,Hybrid world model,P1,NOT_STARTED,Add intervention support scoring,P6-07,Support classes tested,,
P7-01,P7,Race systems,P1,NOT_STARTED,Vectorize car state kernel,P3-09,20-car runtime target met,,
P7-02,P7,Race systems,P1,NOT_STARTED,Implement pit-lane geometry,P2-06,Entry/lane/exit timing independently validated,,
P7-03,P7,Race systems,P1,NOT_STARTED,Implement pit queue and stacking,P7-02,Simultaneous pit tests pass,,
P7-04,P7,Race systems,P1,NOT_STARTED,Build pass-opportunity model,P1-06,Historical context calibration report,,
P7-05,P7,Race systems,P1,NOT_STARTED,Build race-control state machine,P1-06,Yellow/VSC/SC/red tests pass,,
P7-06,P7,Race systems,P1,NOT_STARTED,Build full-field replay,"P7-01,P7-04,P7-05",Position/lap trajectory metrics produced,,
P7-07,P7,Race systems,P1,NOT_STARTED,Freeze race-sim-v1 bundle,P7-06,Reproducible 20-car release artifact,,
P8-01,P8,Planning,P1,NOT_STARTED,Enumerate pit-window candidates,P7-07,Rule-valid strategy generator,,
P8-02,P8,Planning,P1,NOT_STARTED,Add weather/traffic Monte Carlo,P8-01,Scenario distributions reproducible,,
P8-03,P8,Planning,P1,NOT_STARTED,Define risk-sensitive objective,P8-02,Expected and tail metrics documented,,
P8-04,P8,Planning,P1,NOT_STARTED,Run rollout-budget convergence study,P8-03,Ranking stability threshold selected,,
P8-05,P8,Planning,P1,NOT_STARTED,Recover synthetic known optimum,P8-04,Planner gate passes,,
P8-06,P8,Planning,P1,NOT_STARTED,Implement CEM/MPC prototype,P8-05,Improves search efficiency or is rejected,,
P9-01,P9,Product and publication,P1,NOT_STARTED,Build replay timeline UI,P7-07,Every visual tied to run ID,,
P9-02,P9,Product and publication,P1,NOT_STARTED,Build intervention editor,P6-08,Unsupported scenarios visibly warned,,
P9-03,P9,Product and publication,P1,NOT_STARTED,Build strategy comparison UI,P8-05,Uncertainty and rank stability shown,,
P9-04,P9,Product and publication,P1,NOT_STARTED,Add data/model/assumption provenance panels,P0-04,No result without provenance,,
P9-05,P9,Product and publication,P1,NOT_STARTED,Write technical report,"P9-01,P9-03","Methods, metrics, failures and limitations complete",,
P9-06,P9,Product and publication,P1,NOT_STARTED,Record portfolio demo,P9-05,No official branding/assets or unsupported claims,,
