paper_id,title,year,domain,priority,implementation_stage,apex_module,validation_target,source_url,local_pdf,notes
WUTHRICH_2026_RLMPC,Bridging RL and MPC for Mixed-Integer Optimal Control with Application to Formula 1 Race Strategies,2026,hybrid RL/MPC,P0,PROTOCOL_DEFINED,apexsim.research.fienia_strategy; apexsim.sim_core.hybrid,"near-optimality, recursive feasibility and disturbance adaptation",https://arxiv.org/abs/2604.00826,,
CAPPELLO_2025,A State-Space Approach to Modeling Tire Degradation in Formula 1 Racing,2025,probabilistic tyre degradation,P0,RUNNABLE_STARTER,apexsim.research.state_space_tyre,held-out predictive density and reset behavior,https://arxiv.org/abs/2512.00640,,
PERANTONI_2014,Optimal Control for a Formula One Car with Variable Parameters,2014,minimum-lap-time vehicle dynamics,P0,ENGINE_CROSSWALK,apexsim.sim_core.track; apexsim.sim_core.vehicle,"track closure, line/control/set-up optimization",https://doi.org/10.1080/00423114.2014.889315,,
TREMLETT_2016,Optimal Tyre Usage for a Formula One Car,2016,thermodynamic tyre optimal control,P0,PROTOCOL_DEFINED,apexsim.sim_core.tyres; apexsim.research.tyre_energy,temperature/wear/control sensitivity,https://doi.org/10.1080/00423114.2016.1213861,,
WEST_2020,Optimal Tyre Management of a Formula One Car,2020,multi-lap tyre thermal/wear,P0,PROTOCOL_DEFINED,apexsim.sim_core.tyres,"temperature window, wear acceleration and pit crossover",https://doi.org/10.1016/j.ifacol.2020.12.1446,,
PLANET_2019,Learning Latent Dynamics for Planning from Pixels,2019,latent world models/planning,P1,EXISTING_RSSM_CROSSWALK,apexsim.models.rssm,multi-step latent overshooting and CEM planning,https://arxiv.org/abs/1811.04551,,
DREAMERV3_2023,Mastering Diverse Domains through World Models,2023,world models/imagination,P1,EXISTING_RSSM_CROSSWALK,apexsim.models.rssm,stable imagination and actor-critic baselines,https://arxiv.org/abs/2301.04104,,
TDMPC2_2024,"TD-MPC2: Scalable, Robust World Models for Continuous Control",2024,latent MPC,P1,PLANNED,apexsim.sim_core.hybrid; apexsim.models,decoder-free latent planning and robustness,https://arxiv.org/abs/2310.16828,,
ISODREAM_2022,Iso-Dream: Isolating and Leveraging Noncontrollable Visual Dynamics in World Models,2022,factorized world models,P2,PLANNED,apexsim.models.rssm; apexsim.sim_core.race,separate ego-controllable dynamics from opponents/weather/flags,https://openreview.net/forum?id=6LBfSduVg0N,,
BOTTINGER_2023,Mastering Nordschleife — A Comprehensive Race Simulation for AI Strategy Decision-Making in Motorsports,2023,endurance simulation/RL,P1,PROTOCOL_DEFINED,apexsim.research.unified_race; apexsim.sim_core.race,"Gym-style environment, reward/observation ablations and historical calibration",https://arxiv.org/abs/2306.16088,,
PACEJKA_1989,A New Tire Model with an Application in Vehicle Dynamics Studies,1989,tyre force model,P2,REFERENCE_ONLY,apexsim.sim_core.tyres; apexsim.sim_core.vehicle,force-slip curve sanity and friction-envelope calibration,https://doi.org/10.4271/890087,,
FARRONI_2017,Physical Modelling of Tire Wear for the Analysis of Thermal and Frictional Effects on Vehicle Performance,2017,multiphysical tyre wear,P1,PROTOCOL_DEFINED,apexsim.sim_core.tyres; apexsim.research.tyre_energy,thermal/sliding-energy sensitivity and wear monotonicity,https://doi.org/10.1177/1464420716666107,,
